dialogue,label,meta,scenario_type,scenario_relationship,scenario_context,participants
"야 지금 시간 괜찮아
어 나 길 걷고 있어 뭐 일 있어
저기 다름이 아니라 부탁 좀 해도 될까
뭔데 말해봐
내일 중요한 서류를 받아야 하는데 혹시 대신 좀 받아줄 수 있을까
음 어디서 받아야 해
회사 근처 카페에서 받을 수 있어 날씨 좋다
알겠어 시간 맞춰서 갈게
정말 고마워 덕분에 한시름 놨어
별말을 다해 안전하게 다녀와
응 알았어 고마워 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '지인', 'context': '서류 전달 요청', 'tone': '조심스러움', 'topic': '서류 부탁', 'emotion': '안심', 'call_environment': '실외', 'participants': ['김시윤', '고다현']}",지인에게 부탁,지인,서류 전달 요청,
"안녕 지금 시간 괜찮아
어 조용히 해야 돼서 살짝 낮게 이야기할게
음 혹시 내가 부탁할 게 있는데 들어줄 수 있어
있잖아 내가 다음 주까지 서류를 좀 전달해야 되거든
시간 되면 회사 근처로 와줄 수 있어
아 그래줘서 고마워
그럼 언제쯤 가능할까
좋아 그때 맞춰서 나도 준비해둘게
고마워 정말 큰 도움이 되네
그럼 그날 보자",0,"{'conversation_type': 'casual_normal', 'relationship': '지인', 'context': '서류 전달 요청', 'tone': '조심스러움', 'topic': '서류 전달', 'emotion': '안도', 'call_environment': '조용한 공공장소', 'participants': ['임가은', '노승현']}",지인에게 부탁,지인,서류 전달 요청,
"안녕하세요 지금 택배 위치 확인하고 싶은데요
네 어디로 보내진 건지 알려주시면 확인해드릴게요
음 그 대치동으로 보냈는데 잘 도착했는지요
잠시만요 지금 버스 타고 이동 중인데요 확인해볼게요
네 감사합니다
지금 조회해보니 오늘 오후에 도착할 예정이네요
아 그렇군요 알겠습니다
더 궁금한 점 있으신가요
아니요 이 정도면 됐어요 감사합니다
네 좋은 하루 되세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-택배기사', 'context': '택배 위치 확인', 'tone': '간결함', 'topic': '택배 배송 확인', 'emotion': '평온', 'call_environment': '이동 중', 'participants': ['서예준', '양유준']}",택배 배송 확인,고객-택배기사,택배 위치 확인,
"안녕하세요 저 택배 좀 확인하려고요
어 안녕하세요 어떤 건가요
음 제가 주문한 게 아직 안 와서요
아 네 좀 시끄러워서 잘 안 들리는데 송장번호 좀 불러주실 수 있나요
네 잠시만요 어 여기 있다 12345678이에요
음 네 보니까 지금 배송 중이네요 아마 오늘 오후에 도착할 것 같아요
아 그렇군요 감사합니다
네 혹시 문제가 있으면 다시 연락 주세요
알겠습니다 감사해요 수고하세요
네 좋은 하루 되세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-택배기사', 'context': '택배 위치 확인', 'tone': '간결함', 'topic': '택배 배송 확인', 'emotion': '중립적', 'call_environment': '시끄러운 실내', 'participants': ['우유리', '류우진']}",택배 배송 확인,고객-택배기사,택배 위치 확인,
"야 뭐해
어 지금 버스 타고 가는데 너는
나도 걷는 중이야 주말에 뭐할지 정했어
음 아직 못 정했어 너 생각해둔 데 있어
우리 당일치기로 캠핑 가는 거 어때
오 좋다 어디로
가까운데 한강 공원 같은 데 괜찮지 않아
완전 좋지 그럼 준비물은 내가 맡을게
오케이 나는 음식 좀 준비할게
덥지 않게 물 많이 챙기고
알았어 그럼 토요일에 만나자
좋아 연락할게 나중에 봐
응 조심히 가",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '약속 잡기', 'tone': '즐거움', 'topic': '주말 만남', 'emotion': '즐거움', 'call_environment': '이동 중', 'participants': ['홍주원', '박지유']}",친구와 여행 계획,친구,주말 당일치기 여행 조율,
"야 뭐해
어 나 지금 카페에 있어 좀 시끄럽지 하하
그러게 잘 안 들려 좀 더 크게 말해봐
주말에 당일치기로 어디 좀 갔다 올까 해서
좋지 좋아 어디 생각해 둔 데 있어
음 서울 근교로 갈까 싶어 경기도 어때
경기도 좋다 거기 뭐 볼만해
가평 쪽에 예쁜 카페도 많고 경치도 좋대
와 그럼 가서 커피도 마시고 사진도 찍고 좋겠네
그래서 몇 시쯤 볼래
음 아침 일찍 출발하는 게 좋겠지만 여기 좀 시끄럽네
응 그래도 대충 들려 하하 그럼 아침 8시쯤 어때
딱 좋다 그럼 그때 보자고
알았어 그럼 준비하고 있을게
그래 나도 그렇게 할게 오케이
오케이 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '약속 잡기', 'tone': '즐거움', 'topic': '주말 만남', 'emotion': '즐거움', 'call_environment': '시끄러운 실내', 'participants': ['권하준', '배건우']}",친구와 여행 계획,친구,주말 당일치기 여행 조율,
"음 바람이 좀 부네
어디야 지금
밖에 나와 있어 조금 걸으면서 얘기해
그랬구나 이번 주말에 가족들 만나는 거 잊지 않았지
아 맞다 이번 주말이었지
시간 괜찮아 일찍 가야 할까
음 나는 12시쯤 생각하고 있는데 어떨까
12시 괜찮네 점심 같이 먹으면 좋겠다
좋아 그럼 12시로 정하는 거다
정확히 어디로 가야 하지
음 우리 집 앞 공원에서 시작할까
오케이 그러면 그렇게 하자
알았어 그럼 가족들한테도 그렇게 전할게
고마워 걱정하지 마
니가 말 안 해도 다 알겠지 하하 그럼 주말에 봐
응 주말에 봐 잘 지내고",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '가족 모임 일정 확인', 'tone': '다정함', 'topic': '주말 만남', 'emotion': '즐거움', 'call_environment': '실외', 'participants': ['안건우', '윤시현']}",가족과 주말 일정 확인,가족,가족 모임 시간 확인,
"어 안녕 뭐해
나 밖에 나와 있어 바람 좀 쐬려고
오 바람 많이 불어
응 그래서 좀 시원해
주말에 가족 모임 몇 시에 할 거야
엄마가 1시에 오라고 했어
그럼 12시쯤에 나갈까
응 그렇게 하면 될 것 같아
모임 장소는 뭐였지
지난번에 갔던 그 식당이래
알겠어 그럼 그때 보자
그래 나중에 봐
천천히 와
응 그럴게
주말에 봐
응 응 주말에 보자",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '가족 모임 시간 확인', 'tone': '다정함', 'topic': '주말 일정', 'emotion': '즐거움', 'call_environment': '실외', 'participants': ['박지안', '류채윤']}",가족과 주말 일정 확인,가족,가족 모임 시간 확인,
"어 지금 점심 먹으러 가는 중인데 너는
어 나도 집 앞에 잠깐 나왔어
회사 근처 맛집 추천 좀 해줘
음 요즘 다들 그 길 건물에 있는 곳 좋아하더라
거기 멀어 아니면 걸어갈 만 해
걸어가는데 한 10분 걸릴 거야
아 좋다 그럼 거기 가봐야겠다
응 그리고 거기 음료도 괜찮대
그래 그럼 우리 다음에 같이 가자
어 좋지 연락해
오케이 그럼 점심 잘 먹어
너도 나중에 봐
그래 나중에",0,"{'conversation_type': 'casual_normal', 'relationship': '동료', 'context': '점심시간 간단한 잡담', 'tone': '편안함', 'topic': '맛집 추천', 'emotion': '즐거움', 'call_environment': '이동 중', 'participants': ['심지후', '이하율']}",동료 업무 외 잡담,동료,점심시간 간단한 잡담,
"야 점심 뭐 먹었어
음 근처 식당에서 파스타 먹었어 맛있던데
거기 시끄럽네 잘 안 들려
어 맞아 여기 카페인데 사람 엄청 많아
요즘 어때 일은 좀 괜찮아
음 나야 뭐 항상 바쁘지 너는 어때
나도 비슷해 그래도 조금 여유 있는 편이지 뭐
아 그러네 힘내자 우리 하하
맞아 맞아 이번 주말에 뭐 할 거야
좀 쉬려고 해 집에서 넌
친구 만나기로 했어 그냥 수다 떨고
좋겠다 나도 오랜만에 좀 만나고 싶네
그럼 다음에 같이 한번 모이자
좋지 연락해봐 알았어 그럼 나중에 봐
그래 보고해 연락할게",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '약속 잡기', 'tone': '친근함', 'topic': '주말 만남', 'emotion': '즐거움', 'call_environment': '시끄러운 실내', 'participants': ['민도훈', '오준혁']}",동료 업무 외 잡담,동료,점심시간 간단한 잡담,
"거기 커피숍 맞나요
네 맞습니다 말씀하세요
저기 이번 주말에 예약 좀 하려고 하는데요
몇 분이 오실 예정이신가요
총 여섯 명이에요
주말에는 좀 시끄러울 수 있는데 괜찮으신가요
아 네 그게 괜찮습니다 혹시 몇 시쯤 자리 가능할까요
오후 두 시 이후로는 다 가능합니다
그럼 두 시로 예약할게요
네 성함과 연락처 알려주시면 되겠습니다
아 네 성함은 황성현이고 연락처는 010-9876-5432입니다
네 예약 확인되셨습니다 주말에 뵙겠습니다
네 감사합니다",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-업체', 'context': '모임 자리 예약', 'tone': '공손함', 'topic': '커피숍 예약 문의', 'emotion': '즐거움', 'call_environment': '시끄러운 실내', 'participants': ['황성현', '심예은']}",커피숍 예약 문의,고객-업체,모임 자리 예약,
"안녕하세요
네 안녕하세요 무엇을 도와드릴까요
이번 주말에 친구들이랑 모임을 하려고 하는데 자리 예약 가능할까요
몇 분이 오실 예정이신가요
한 열 명 정도요
저희 매장에 단체석이 있는데 그쪽으로 예약해드릴게요 날짜랑 시간을 말씀해 주세요
토요일 오후 두 시쯤 괜찮을까요
네 가능합니다 실외 쪽에 앉으실 건가요
바람이 좀 불어서요 실내 자리로 부탁드려요
알겠습니다 예약해두겠습니다
감사합니다 그럼 토요일에 뵐게요
네 좋은 하루 되세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-업체', 'context': '모임 자리 예약', 'tone': '공손함', 'topic': '커피숍 예약', 'emotion': '평온', 'call_environment': '실외', 'participants': ['배유나', '허은우']}",커피숍 예약 문의,고객-업체,모임 자리 예약,
"안녕하세요 은행입니다 무엇을 도와드릴까요
안녕하세요 제가 계좌 이체를 했는데 잘 됐는지 확인하고 싶어서요
네 그러시군요 본인 확인을 위해 계좌번호 뒷자리 네 자리만 말씀해주시겠어요
네 4321입니다
잠시만요 확인해볼게요
네 감사합니다
이체는 정상적으로 처리되었고 수취인 계좌에도 입금이 완료되었습니다
아 그렇군요 감사합니다
다른 도움 필요하신 건 없으신가요
아니요 이거면 충분합니다 고맙습니다
네 안녕히 가세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-은행직원', 'context': '계좌 이체 확인', 'tone': '정중함', 'topic': '은행 업무 문의', 'emotion': '편안함', 'call_environment': '조용한 공공장소', 'participants': ['백민성', '손수아']}",은행 업무 문의,고객-은행직원,계좌 이체 확인,
"안녕하세요 지금 통화 가능하세요
네 안녕하세요 이동 중이지만 말씀하세요
다름이 아니라 계좌 이체 확인 좀 하려고요
어떤 부분 확인해 드리면 될까요
어제 10만원 이체했는데 잘 됐는지 궁금해서요
확인해 드리겠습니다 잠시만 기다려 주세요
네 감사합니다
이체 잘 완료된 것으로 확인됩니다
아 다행이네요 고맙습니다
별말씀을요 혹시 더 도와드릴 게 있을까요
아니에요 이 정도면 충분해요
네 안전하게 이동하시고 좋은 하루 되세요
감사합니다 안녕히 계세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-은행직원', 'context': '계좌 이체 확인', 'tone': '정중함', 'topic': '은행 업무 문의', 'emotion': '신뢰', 'call_environment': '이동 중', 'participants': ['성지안', '고승호']}",은행 업무 문의,고객-은행직원,계좌 이체 확인,
"교수님 안녕하세요
안녕하세요 무슨 일이에요
저기 지난번 과제 피드백 좀 여쭤보려고요
아 네 그거 봤어요 설명이 필요한 부분 있나요
네 몇 가지 질문이 있어요
그럼 말씀해보세요
리포트의 구조에 대해서 조금 더 구체적으로 피드백 주실 수 있나요
음 네 사실 서론 부분이 조금 더 명확하면 좋겠어요
아 그렇군요 감사합니다
그리고 결론 부분도 요점 정리가 필요할 것 같아요
알겠습니다 그럼 수정해볼게요
네 그렇게 하시면 좋을 것 같아요
조용히 해야 돼서 길게 말 못 할 것 같아요
네 감사합니다 교수님
수고하세요",0,"{'conversation_type': 'casual_normal', 'relationship': '학생-교수', 'context': '과제 피드백 요청', 'tone': '예의바름', 'topic': '과제 피드백', 'emotion': '열의', 'call_environment': '조용한 공공장소', 'participants': ['권유리', '하서윤']}",대학교 교수 상담,학생-교수,과제 피드백 요청,
"교수님 안녕하세요
어 안녕하세요 무슨 일이에요
제가 저번에 제출한 과제 피드백 좀 부탁드리고 싶어서요
음 그 과제 말이죠 저기 조용히 해야 돼서 간단히 말씀드릴게요
네 괜찮습니다
일단 내용은 괜찮았는데 논리 전개가 조금 더 명확하면 좋겠어요
아 그렇군요 그럼 수정할 때 어떤 부분에 더 신경 쓰면 좋을까요
예를 들어 자료 해석 부분에서 좀 더 구체적으로 사례를 들어주면 좋겠어요
알겠습니다 그럼 그 부분을 보강해서 수정해볼게요
네 그렇게 하면 훨씬 좋아질 거예요 다른 질문은 없나요
지금은 없고 수정 후에 또 궁금한 점 있으면 찾아뵐게요 감사합니다
네 그러세요 수고하셨어요",0,"{'conversation_type': 'casual_normal', 'relationship': '학생-교수', 'context': '과제 피드백 요청', 'tone': '예의바름', 'topic': '과제 피드백', 'emotion': '진중함', 'call_environment': '조용한 공공장소', 'participants': ['문가은', '권진우']}",대학교 교수 상담,학생-교수,과제 피드백 요청,
"안녕하세요 기사님
안녕하세요 지금 어디 계세요
제가 지금 삼성역 근처에 있어요 택시 오고 있나요
네 맞아요 삼성역 근처로 가는 중입니다 얼마 안 남았어요
아 알겠습니다 혹시 몇 분 정도 걸릴까요
앞에 신호가 좀 많아서 아마 10분 정도 걸릴 것 같아요
음 그러면 제가 길가 쪽에 나가 있을게요
네 알겠어요 도착하면 연락드릴게요
감사합니다 조심히 오세요
네 잠시 후에 뵙겠습니다",0,"{'conversation_type': 'casual_normal', 'relationship': '승객-기사', 'context': '위치 안내 및 도착 시간 확인', 'tone': '간결함', 'topic': '택시 호출', 'emotion': '중립', 'call_environment': '이동 중', 'participants': ['장지안', '황승현']}",택시 호출,승객-기사,위치 안내 및 도착 시간 확인,
"여보세요
안녕하세요 기사님
네 어디로 가시나요
저 지금 강남역인데요
거기 좀 시끄럽네요 잘 안 들려서 다시 말해 주실래요
아 예 죄송해요 강남역이고요 오셔서 전화 주시면 돼요
강남역이요 알겠습니다
대략 도착 예상 시간 알 수 있을까요
지금 차가 좀 막혀서 약 15분 정도 걸릴 것 같아요
아 그렇군요 알겠습니다 감사합니다
네 곧 도착할게요",0,"{'conversation_type': 'casual_normal', 'relationship': '승객-기사', 'context': '위치 안내 및 도착 시간 확인', 'tone': '간결함', 'topic': '택시 호출', 'emotion': '중립', 'call_environment': '시끄러운 실내', 'participants': ['하시우', '성민재']}",택시 호출,승객-기사,위치 안내 및 도착 시간 확인,
"야 뭐해
조금 바빠 조용히 해야 돼
영화 언제 볼까 해서
아 맞다 시간 정해야지
몇 시가 좋아
한 오후 4시쯤 어때
아 그 시간 괜찮아
조용히 해야 해서 더 얘기 못 해
그래 알았어 연락해
고마워 곧 보자
그래 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '약속 잡기', 'tone': '즐거움', 'topic': '영화 시간 조율', 'emotion': '즐거움', 'call_environment': '조용한 공공장소', 'participants': ['권지안', '허예나']}",친구와 영화 시간 조율,친구,영화 시작 시간 맞추기,
"야 뭐해
어 나 지금 걷는 중이야 너는
나도 걸어가면서 전화했어
영화 시간 어떻게 할까
그래 그게 말이야 이따가 다섯 시 시작이라는데
오 다섯 시 좋다 그럼 조금 일찍 갈까
좋아 조금 일찍 가서 팝콘 사자
하하 맞아 영화관 팝콘 최고지
맞아 그럼 네 시쯤 만날까
음 네 시면 나도 시간 맞출 수 있을 것 같아
오케이 그럼 네 시에 거기서 보자
응 알았어 그럼 이따 봐
그래 이따 영화에서 봐
바쁜데도 전화 고마워
아니야 걸어가면서 하는 거라 괜찮아
그럼 이따 만나
응 조심히 와",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '약속 잡기', 'tone': '친근함', 'topic': '주말 만남', 'emotion': '즐거움', 'call_environment': '이동 중', 'participants': ['오주호', '주하연']}",친구와 영화 시간 조율,친구,영화 시작 시간 맞추기,
"어 명절 잘 보내고 있지
응 잘 지내고 있어 너는 바쁘지 않아
바람이 많이 부네 날씨가 꽤 쌀쌀해졌다
맞아 나도 밖에 있는데 춥더라
이번 추석에는 뭐 했어
그냥 가족들하고 모여서 차례 지내고 맛있는 거 먹었지
아 잘했네 올해도 떡 많이 먹었어 하하
참 너희 집은 뭐 했어
우리도 비슷하게 보냈어 근데 부모님이 더 건강하셔서 좋아
그래 건강이 최고지
조만간 한 번 모이자
응 좋아서 언제든지 연락 줘
알았어 그럼 추운 날씨 조심하고
너도 감기 조심해 나중에 보자",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '명절 안부 전화', 'tone': '다정함', 'topic': '명절 인사', 'emotion': '즐거움', 'call_environment': '실외', 'participants': ['곽민석', '심지안']}",가족 명절 인사,가족,명절 안부 전화,
"어 민호야 뭐해
나 지금 버스 타고 고향 가는 중이야 형은
나도 고향 가는 길이야 차 막히더라
그러게 요즘 다들 이동 많이 하네
맞아 이번 명절은 다 모이냐
어 우리 가족은 다 모일 거야 너희도
그럼 우리도 다 모이기로 했어
그래 형은 언제까지 있을 거야
나는 연휴 끝날 때까지 있을 거야 오랜만에 좀 쉬어야지
좋겠다 나는 조금 더 있고 싶은데 일이 있어서
다음에 시간 나면 내려와 같이 시간 보내자
그래 그렇게 하자 연락 자주 하자
그래 조심히 내려가
형도 운전 조심하고
응 고마워 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '명절 안부 전화', 'tone': '다정함', 'topic': '가족 모임', 'emotion': '즐거움', 'call_environment': '이동 중', 'participants': ['허민호', '황승호']}",가족 명절 인사,가족,명절 안부 전화,
