dialogue,label,meta,scenario_type,scenario_relationship,scenario_context,participants
"엄마 지금 통화 괜찮아
어 지금 조용히 말해야 돼서 그래 무슨 일이야
저 여행 계획 짜고 있었는데 그게 말이야 경비가 좀 필요해서
그래 얼마가 필요한데
어 지금 예상보다 조금 더 나와서 삼십만 원 정도 생각 중이야
어 그래 알겠어 대신 다음 달 용돈에서 일부 제외하는 거 알지
응 알았어 고마워 엄마
그래 여행 잘 다녀와
응 그럼 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '여행 경비 지원 요청', 'tone': '조심스러움', 'topic': '여행 계획', 'emotion': '조심스러움', 'call_environment': '조용한 공공장소', 'participants': ['임주하', '하시윤']}",부모님께 여행 경비 요청,가족,여행 경비 지원 요청,
"엄마 잠깐 이야기할 수 있어
지금 괜찮아 무슨 일이야
다름이 아니라 말이야 이번에 친구들이랑 여행 가기로 했거든
음 그래 어디로 가기로 했어
서울로 가기로 했어 그래서 말인데 여행 경비 조금 지원해 줄 수 있을까 해서
아 그래 그럼 얼마나 필요해
대략 15만원 정도 생각하고 있어 여러 가지 좀 해야 되서
알겠어 그럼 계좌로 보내줄게
고마워 엄마 진짜 이번에 잘 다녀올게
그래 잘 다녀오고 조심히 놀고 와
응 알겠어 또 연락할게",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '여행 경비 지원 요청', 'tone': '조심스러움', 'topic': '여행 경비', 'emotion': '부담감', 'call_environment': '조용한 실내', 'participants': ['노연우', '우서희']}",부모님께 여행 경비 요청,가족,여행 경비 지원 요청,
"안녕하세요 선생님 지금 통화 괜찮으세요
아 네 괜찮습니다 말씀하세요
다름이 아니라 수강료 납부 일정을 다시 확인하고 싶어서요
아 그렇군요 원래 이번 주 안에 납부하시면 되고요 상황에 따라서 조정 가능하니 걱정하지 마세요
아 네 감사합니다 혹시 늦게 납부하면 불이익 같은 게 있을까요
아뇨 큰 문제는 없어요 그냥 관리 차원에서 정해둔 일정이니까요
알겠습니다 이번 주 안에 낼게요
네 알겠습니다 다른 궁금한 점 있으시면 언제든지 문의하세요
감사합니다 선생님 그럼 이만 끊겠습니다
네 좋은 하루 보내세요",0,"{'conversation_type': 'casual_normal', 'relationship': '학생-선생님', 'context': '수강료 납부 일정 문의', 'tone': '공손함', 'topic': '수강료 상담', 'emotion': '평온함', 'call_environment': '조용한 실내', 'participants': ['전우빈', '한수아']}",학원 선생님과 수강료 상담,학생-선생님,수강료 납부 일정 문의,
"선생님 안녕하세요
안녕하세요 무슨 일이에요
다름이 아니라 수강료 납부 일정 때문에요
아 그렇군요 다음 주까지 납부하시면 돼요
음 확인해 주셔서 감사합니다
문의할 게 있으면 언제든지 연락 주세요
알겠습니다 조용히 해야 돼서 이만 끊을게요
네 좋은 하루 보내요",0,"{'conversation_type': 'casual_normal', 'relationship': '학생-선생님', 'context': '수강료 상담', 'tone': '공손함', 'topic': '수강료 납부 일정', 'emotion': '공감', 'call_environment': '조용한 공공장소', 'participants': ['한라윤', '백지윤']}",학원 선생님과 수강료 상담,학생-선생님,수강료 납부 일정 문의,
"야 뭐해
어 그냥 집이야 왜
어제 게임 진짜 재밌었지
맞아 우리 팀 대박이었어
음 그러고 보니 상금 정산 얘기해야 하지 않나
아 맞다 그럼 어떻게 나누지
우리가 1등 했으니까 총 금액이 꽤 괜찮잖아
응 그러게 그럼 반반 나누면 되겠지
오케이 그럼 내일 만나서 얘기하자
그래 그러면 집 앞 카페에서 볼래
좋아 그럼 내일 봐
오케이 연락할게
응 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '공동 게임 대회 상금 분배', 'tone': '즐거움', 'topic': '게임 경품 금액 정산', 'emotion': '즐거움', 'call_environment': '조용한 실내', 'participants': ['배민재', '정예원']}",친구와 게임 경품 금액 정산,친구,공동 게임 대회 상금 분배,
"야 어제 게임 대박이었지
진짜 재밌었어 우린 역시 팀웍이 좋아
하하 그러게 말이야
그래서 상금 어떻게 나눌까
음 그게 1등 해서 기분 좋았으니까 반반으로 가자
오케이 난 상관없어
그러면 오늘 저녁에 만나서 정산할까
좋아 어디서 볼래
음 우리 집에서 할까 여기 조용해서
그럼 거기로 갈게 몇 시에 보지
한 일곱 시쯤 어때
좋아 그럼 그때 보자
오케이 그럼 나중에 봐
응 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '약속 잡기', 'tone': '친근함', 'topic': '주말 만남', 'emotion': '즐거움', 'call_environment': '조용한 실내', 'participants': ['유서린', '권예린']}",친구와 게임 경품 금액 정산,친구,공동 게임 대회 상금 분배,
"안녕하세요 지금 통화 가능할까요
네 가능하십니다 무엇을 도와드릴까요
대출 관련해서 상담 좀 받고 싶은데요
아 네 대출 가능 금액과 조건에 대해 안내드리겠습니다
감사합니다 대략적으로 얼마까지 가능할까요
고객님의 신용등급에 따라 다르지만 기본적으로 3천만 원부터 시작합니다
조건이나 이자율은 어떻게 되나요
조건은 신용등급과 소득에 따라 다르며 이자율도 마찬가지로 변동될 수 있습니다 대략적으로 4%에서 6% 사이입니다
알겠습니다 그럼 소득 증빙이 필요한 거죠
네 맞습니다 소득을 증빙할 수 있는 서류가 필요하십니다
이해했습니다 정보 감사해요
언제든지 추가 문의사항 있으면 연락 주시고요 감사합니다
네 알겠습니다 좋은 하루 되세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객-은행직원', 'context': '대출 상담', 'tone': '정중함', 'topic': '대출 가능 금액과 조건', 'emotion': '중립', 'call_environment': '조용한 공공장소', 'participants': ['남아린', '강성민']}",은행 대출 상담,고객-은행직원,대출 가능 금액과 조건 문의,
"여보세요
아 네 안녕하세요
저기 대출 상담 좀 하려고 전화 드렸는데요
아 네 어떤 대출에 대해서 문의하시려고요
제가 지금 카페에 있어서 조금 시끄러울 수 있어요 괜찮을까요
네 괜찮습니다
그 혹시 대출 가능한 금액과 조건이 어떻게 되나요
고객님의 신용 등급과 소득을 고려해서 최대 5천만 원까지 가능하십니다
음 혹시 금리는 어느 정도인가요
지금 기준 금리가 3퍼센트라 대략 4퍼센트 전후로 보실 수 있어요
아 그렇군요 기간은 얼마나 되나요
최대 5년까지 가능합니다
알겠습니다
더 궁금하신 사항 있으신가요
지금으로서는 없습니다 감사합니다
네 감사합니다 좋은 하루 되세요",0,"{'conversation_type': 'casual_normal', 'relationship': '고객↔업체', 'context': '대출 상담', 'tone': '정중함', 'topic': '대출 가능 금액과 조건', 'emotion': '중립', 'call_environment': '시끄러운 실내', 'participants': ['황주원', '임나은']}",은행 대출 상담,고객-은행직원,대출 가능 금액과 조건 문의,
"안녕하세요 제가 지금 월세 납부 관련해서 문의 드리려고요
네 말씀하세요 어떻게 도와드릴까요
이번 달에 살짝 늦을 것 같아서요 혹시 괜찮으실까요
아 그러시군요 며칠 정도 예상하시나요
한 5일 정도만 더 주시면 될 것 같아요
알겠습니다 그럼 이번 달에만 5일 연장해 드릴게요
정말 감사합니다 다음부터는 더 신경 쓸게요
아니에요 누구나 그런 날이 있죠
그럼 월세는 계좌로 송금 드리면 될까요
네 맞아요 그 계좌로 보내주시면 됩니다
네 감사합니다 그럼 다음 달에는 제때 낼게요
네 알겠습니다 다른 필요하신 거 있으면 언제든지 말씀해 주세요
네 감사합니다 좋은 하루 보내세요
네 감사합니다 안녕히 계세요",0,"{'conversation_type': 'casual_normal', 'relationship': '세입자-집주인', 'context': '월세 조율', 'tone': '협조적', 'topic': '월세 납부 일정 및 방법 협의', 'emotion': '편안함', 'call_environment': '조용한 실내', 'participants': ['심지현', '성유리']}",세입자와 월세 조율,세입자-집주인,월세 납부 일정 및 방법 협의,
"안녕하세요 집주인님
안녕하세요 무슨 일로 전화 주셨나요
다름이 아니라 이번 달 월세 얘기 좀 하려고요 음 다음 주에 낼 수 있을 것 같은데
아 그럼 그때 납부하시면 될 것 같아요
네 계좌로 보내면 되는 거죠
네 맞습니다
그럼 정확히 날짜를 정할까요 아마 15일이 가장 좋을 것 같아요
좋습니다 15일에 보내주시면 됩니다
혹시 다른 방법으로 낼 수 있는 것도 있나요
음 계좌 이체가 제일 편하긴 한데 혹시 현금 납부를 원하시면 말씀해주세요
아 그래도 이체가 편할 것 같아요 그럼 그렇게 할게요
네 알겠습니다 감사합니다
네 그럼 또 연락 드릴게요 좋은 하루 보내세요
좋은 하루 되세요
네 끊을게요",0,"{'conversation_type': 'casual_normal', 'relationship': '세입자-집주인', 'context': '월세 납부 일정 및 방법 협의', 'tone': '협조적', 'topic': '월세 조율', 'emotion': '중립', 'call_environment': '조용한 실내', 'participants': ['신은서', '하예나']}",세입자와 월세 조율,세입자-집주인,월세 납부 일정 및 방법 협의,
"야 뭐해
지금 걷는 중이야 너는
나도 걷고 있어 음 그 교재 말이야
응 이번에 같이 사기로 했던 거
그래 그래서 나눠서 계산하려고 했는데 얼마였어
음 기억하기로는 총 삼만 오천원이었던 것 같은데
오 그러면 우리가 반씩 내면 되겠다
맞아 만칠천오백원씩 내면 돼
그러면 나중에 입금하면 되는 거지
응 계좌 번호 문자로 보내줄게
알았어 잠깐만 신호등에서 기다리면서 메모할게
오케이 그럼 이따가 연락할게
응 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '공동 교재 구매 비용 분담', 'tone': '편안함', 'topic': '교재 구입비 나누기', 'emotion': '즐거움', 'call_environment': '이동 중', 'participants': ['한서하', '홍민호']}",친구와 교재 구입비 나누기,친구,공동 교재 구매 비용 분담,
"잘 지내냐
나야 잘 지내고 있어
저기 그 교재 같이 사기로 했잖아
그래 맞아 그거 어디서 샀어
인터넷으로 샀어 바로 배송 오더라
진짜 빨리 오네 그렇게 빨리 온 줄 몰랐어
그러게 요즘 진짜 빠르더라고
비용 어떻게 나누지
반반 나누면 되지 않을까
그럼 계좌로 보내줄게
오케이 확인할게
정말 편하게 지내고 있어
응 그래 나중에 만나면 고기 사줄게
그래 그럼 나도 갈 때 뭐 가져갈게
좋아
알았어 나중에 보자",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '공동 교재 구매 비용 분담', 'tone': '편안함', 'topic': '교재 구입비 나누기', 'emotion': '즐거움', 'participants': ['안유진', '남서윤'], 'call_environment': '조용한 실내'}",친구와 교재 구입비 나누기,친구,공동 교재 구매 비용 분담,
"엄마 나 지금 마트인데 엄청 시끄럽네
거기 사람 많아
어 정말 많아 근데 우리 예산 얼마야
그게 말이야 이번 주 예산은 10만 원 생각하고 있었는데 어때
음 생각보다 적네 그럼 필요한 것만 골라야겠네
맞아 그래서 고기랑 채소 위주로 살까
고기랑 채소 좋지 근데 음 여기 세일하는 물건들도 많아 보여
그래 그럼 세일하는 거 위주로 한번 둘러봐
어 알겠어 저기서 소리가 너무 커서 잠깐만 조용한 쪽으로 갈게
알겠어 그래도 신경 써서 잘 사야 해 다른 거 놓치면 안 돼
알겠어 챙겨보고 부족한 건 다음에 또 가면 되니까
그럼 계산대에서 다시 연락해
응 그래 봐 나중에 집에서 봐
어 그래 조심히 와",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '장보기 비용 계산', 'tone': '협조적', 'topic': '장보기 예산과 비용 배분', 'emotion': '즐거움', 'call_environment': '시끄러운 실내', 'participants': ['김하린', '문수연']}",가족과 장보기 비용 계산,가족,장보기 예산과 비용 배분,
"야 뭐해
지금 마트야 좀 시끄러워
그래서 장보기 비용 좀 정리하려고
얼마나 썼어
지금까지 대략 삼만원 정도인 것 같아
근데 이번 주 예산이 얼마나 남았지
아 맞다 오만원 다 안 쓴 것 같아
음 그러면 남은 예산으로 다른 거 뭐 살까
음 나 빵 같은 거 좀 사고 싶은데
좋아 근데 거기 시끄럽네
응 사람들이 많아서 그래
알았어 다음에는 조용한 데서 이야기하자
그래 그렇게 하자
그럼 일단 이따가 자세히 이야기하자
알겠어 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '장보기 예산과 비용 배분', 'tone': '협조적', 'topic': '장보기 비용 계산', 'emotion': '즐거움', 'call_environment': '시끄러운 실내', 'participants': ['문성민', '류도윤']}",가족과 장보기 비용 계산,가족,장보기 예산과 비용 배분,
"야 뭐해
어 지금 밖에 나와 있어 산책 중이야
아 그렇구나 나도 나와서 걸어가고 있어 하하
그거 말이야 우리 스포츠 모임 회비 얼마였지
아 맞다 회비 얘기 하자고 했지 나 생각해보니까 이번엔 둘로 나누는 게 좋을 것 같아
음 좋아 그럼 참가비랑 활동비로 어떻게 나눌까
참가비는 2만원 하고 활동비 1만원으로 하면 어때
그럼 3만원씩 내면 되는 거지
응 맞아 그렇게 하면 돼
알았어 그럼 이번 주말에 만날 때 낼게
좋아 그러면 나도 그때 챙겨올게
오케이 그럼 날씨도 좋으니까 조금 더 걸어야겠다
그래 그래 나중에 연락해
응 연락할게
어 잘가",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '모임 회비', 'tone': '협조적', 'topic': '스포츠 모임 회비 논의', 'emotion': '협조적', 'call_environment': '실외', 'participants': ['문서준', '백우진']}",친구와 스포츠 모임 회비 논의,친구,모임 회비 납부 방법과 금액 논의,
"야 나야
어 그래 뭐해
나 지금 밖에 나와 있어 걷고 있는 중이야
오 바람 불지 않니 거기
어 맞아 바람도 좀 불고 날씨도 좋네
다름이 아니라 그 주말에 스포츠 모임 회비 얘기하려고
아 그래 얼마 낼까
이번에 회비가 좀 늘어나서 3만 원씩 내기로 했대
음 그러면 어떻게 낼까
내일 모임에서 직접 주는 게 좋을 것 같아
그래 그럼 내일 모임에서 주자
알겠어 그럼 내일 만나자
오케이 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '친구', 'context': '모임 회비 논의', 'tone': '협조적', 'topic': '스포츠 모임 회비', 'emotion': '평온함', 'call_environment': '실외', 'participants': ['송하성', '권연우']}",친구와 스포츠 모임 회비 논의,친구,모임 회비 납부 방법과 금액 논의,
"어 지금 지하철에서 전화 받았어
아 그랬구나 바쁠 텐데 미안해
아니야 뭐 괜찮아 얘기해봐
이번 프로젝트 지출 비용 나눠야 하는데
그래서 어떻게 하면 좋을까
내가 리스트 정리했어 여기서 절반씩 나누면 될 것 같아
오케이 리스트 보내줘서 같이 확인해볼게
응 내가 메일로 보낼게
알았어 그럼 메일 받고 얘기 다시 해보자
좋아 그럼 조심히 와
고마워 연락할게",0,"{'conversation_type': 'casual_normal', 'relationship': '동료', 'context': '업무 관련 지출 비용 분배', 'tone': '협조적', 'topic': '프로젝트 비용 공유', 'emotion': '협조적', 'call_environment': '이동 중', 'participants': ['고소윤', '윤아린']}",동료와 프로젝트 비용 공유,동료,업무 관련 지출 비용 분배,
"어 지금 걷는 중이야 뭐 좀 물어보려고
그래 말해 어떤 거
저번 프로젝트 때 비용 분담 이야기했었잖아 그거 정리하려고
아 맞아 그게 좀 복잡했었지 얼마 나왔어
총 비용이 50만 원 정도였어 반반씩 나누면 될 것 같은데
오케이 그러면 나중에 보내줄게
고마워 그럼 다음 프로젝트도 잘 부탁해
그러자 준비 잘 되어가고 있어
응 시간 나면 따로 얘기하자
좋아 연락할게
응 조심히 가",0,"{'conversation_type': 'casual_normal', 'relationship': '동료', 'context': '업무 관련 지출 비용 분배', 'tone': '협조적', 'topic': '프로젝트 비용 공유', 'emotion': '협조적', 'call_environment': '이동 중', 'participants': ['강은우', '성우빈']}",동료와 프로젝트 비용 공유,동료,업무 관련 지출 비용 분배,
"야 뭐해 지금
어 나 지금 밖에 나와 있어 바람 불어
아 그래 나도 지금 걷는 중이야 그런데 저기 말인데
응 무슨 일이야 결혼식 말이지
맞아 그거 생각보다 비용이 좀 나오더라고
그러게 아 우리 어떻게 나눌지 얘기해봐야 할 것 같아서
내 생각엔 음식값은 우리가 좀 더 부담하면 좋을 것 같아
오케이 그럼 선물은 내가 맡을게 서로 부담 안 되게 나눠서 하자
좋아 그러면 이렇게 하자 확정되는 대로 연락 줘
그래 그럼 그렇게 하자 날씨 좋으니까 기분도 좋네
하하 맞아 그럼 나중에 보자
응 그래 연락할게 나중에 봐",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '결혼식 비용 논의', 'tone': '협조적', 'topic': '결혼식 선물 및 참가 비용', 'emotion': '협조적', 'call_environment': '실외', 'participants': ['배수빈', '서하늘']}",친척 결혼식 비용 분담,가족,결혼식 선물 및 참가 비용 논의,
"어 거기 시끄럽네
어 미안해 지금 카페에 있어
괜찮아 어쩐 일이야
저기 있잖아 다음 주에 결혼식 있잖아
아 맞다 선물 뭐 할 거야
음 우리 다 같이 돈 모아서 큰 거 하나 하자
좋지 근데 얼마 정도 생각해
한 사람당 5씩 모아서 30 정도?
어 괜찮네 그런데 참가비는
음 그건 각자 부담하자 서로 부담 덜게
맞아 그래야겠네 그리고 식 끝나고 모여서 같이 밥 먹을까
좋아 요즘 바빠서 얘기할 시간도 없었잖아
그러게 하하 그럼 그때 보자
그래 조심히 가고 응 연락할게",0,"{'conversation_type': 'casual_normal', 'relationship': '가족', 'context': '결혼식 비용 분담', 'tone': '협조적', 'topic': '결혼식 선물 및 참가 비용 논의', 'emotion': '즐거움', 'call_environment': '시끄러운 실내', 'participants': ['정예린', '이하윤']}",친척 결혼식 비용 분담,가족,결혼식 선물 및 참가 비용 논의,
"안녕하세요 등록금 문의 드리려고요
네 어떤 부분 도와드릴까요
혹시 등록금 분할 납부 가능한가요
네 가능합니다 몇 번에 나누고 싶으신가요
두 번으로 나눌 수 있을까요
네 가능합니다 첫 번째 납부는 등록 시 두 번째는 다음 달 초에 하시면 돼요
아 감사합니다 도움 많이 됐어요
다른 궁금한 점은 없으세요
아 네 그 정도면 충분합니다
네 필요한 사항 생기면 언제든 연락주세요
고맙습니다 좋은 하루 보내세요
네 감사합니다",0,"{'conversation_type': 'casual_normal', 'relationship': '학생-학원', 'context': '등록금 문의', 'tone': '공손함', 'topic': '등록금 분할 납부', 'emotion': '감사함', 'call_environment': '실외', 'participants': ['강연우', '송서준']}",학원 등록금 분할 납부 상담,학생-학원,등록금 분할 납부 가능 여부 문의,
